,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
260,260,"Run, Hide, Die",14,Run,3,5148,52,12097,100,2015,1991.0
261,261,We Are Your Friends,19,We Are Your Friends,19,687,100,687,100,2015,2015.0
262,262,Zipper,6,Flipper,7,10712,77,10712,77,2015,1996.0
263,263,War Room,8,War Room,8,572,100,572,100,2015,2015.0
264,264,Que Horas Ela Volta?,20,Violets Are Blue,16,10071,54,13284,57,2015,1986.0
265,265,Unsullied,9,Unsullied,9,190,100,190,100,2015,2016.0
266,266,Windsor Drive,13,Windsor Drive,13,1192,100,1192,100,2015,2015.0
267,267,No Escape,9,No Escape,9,615,100,615,100,2015,2015.0
268,268,The Curse of Downers Grove,26,The Curse,9,13421,64,13086,100,2015,1987.0
269,269,Sinister 2,10,Sinister 2,10,613,100,613,100,2015,2015.0
270,270,Top Spin,8,Top Spin,8,1148,100,1148,100,2015,2015.0
271,271,Hitman: Agent 47,16,Hitman: Agent 47,16,624,100,624,100,2015,2015.0
272,272,Z Storm,7,Storm,5,4867,83,4867,100,2015,2009.0
273,273,The Love Letter,15,The Love Letter,15,9740,100,9740,100,2015,1999.0
274,274,Amnesiac,8,Amelia,6,4552,71,4552,71,2015,2009.0
275,275,The Man From U.N.C.L.E.,23,The Man From U.N.C.L.E.,23,588,100,588,100,2015,2015.0
276,276,Straight Outta Compton,22,Straight Outta Compton,22,546,100,546,100,2015,2015.0
277,277,Brothers,8,The Brothers Grimsby,20,4521,100,101,100,2015,2016.0
278,278,Alleluia! The Devil's Carnival,30,Alleluia,8,1861,61,1141,100,2015,2015.0
279,279,The Brain That Sings,20,What the Snow Brings,20,11081,74,6142,75,2015,2007.0
280,280,Fantastic Four,14,Fantastic Four,14,580,100,580,100,2015,2015.0
281,281,The Gift,8,The Gift (2015),15,9358,100,591,100,2015,2015.0
